Date,Open,High,Low,Close,Adj Close
2018-01,175.10,180.10,170.80,176.35,176.35
2018-02,176.80,181.40,173.50,178.32,178.32
2018-03,179.00,180.20,159.10,159.79,159.79
2018-04,160.40,168.50,157.40,166.02,166.02
2018-05,166.40,191.00,165.30,191.78,191.78
2018-06,192.50,198.20,191.30,194.32,194.32
2018-07,195.40,218.60,172.00,172.58,172.58
2018-08,173.10,176.80,171.60,175.73,175.73
2018-09,176.00,177.80,161.30,161.36,161.36
2018-10,162.50,165.50,139.20,139.53,139.53
2018-11,140.00,147.20,139.00,143.66,143.66
2018-12,144.00,146.00,123.00,131.09,131.09
2019-01,131.50,150.30,128.20,150.19,150.19
2019-02,150.90,166.10,150.30,161.45,161.45
2019-03,162.40,171.40,162.10,166.69,166.69
2019-04,167.30,194.80,165.60,193.40,193.40
2019-05,194.40,196.90,177.40,177.47,177.47
2019-06,178.10,194.20,176.90,193.00,193.00
2019-07,194.30,199.30,189.10,198.81,198.81
2019-08,199.20,203.60,183.40,185.67,185.67
2019-09,186.80,190.90,184.00,187.16,187.16
2019-10,187.90,191.50,178.30,190.00,190.00
2019-11,190.40,203.80,189.90,201.64,201.64
2019-12,202.20,208.70,201.00,205.25,205.25
2020-01,206.60,224.20,201.60,201.91,201.91
2020-02,202.10,217.50,192.20,192.47,192.47
2020-03,193.50,199.20,152.20,165.55,165.55
2020-04,165.60,218.00,165.00,204.71,204.71
2020-05,205.00,233.20,200.20,225.09,225.09
2020-06,226.00,232.00,215.20,227.07,227.07
2020-07,227.60,255.80,226.00,253.67,253.67
2020-08,255.30,304.70,250.40,293.20,293.20
2020-09,293.00,296.50,244.10,261.90,261.90
2020-10,262.80,278.90,259.10,263.11,263.11
2020-11,263.20,279.40,260.30,276.97,276.97
2020-12,277.00,280.80,265.90,273.16,273.16
