"date","close","volume","open","high","low"

"2019/09/06","128.2100","6758329.0000","128.8800","129.2300","128.0700"
"2019/09/05","128.5800","4754074.0000","129.9000","129.9000","128.3100"
"2019/09/04","128.8600","4821460.0000","129.4900","129.5900","128.0800"
"2019/09/03","128.7400","5710249.0000","127.9900","128.9800","127.5100"
"2019/08/30","128.3600","7371134.0000","128.2700","129.1000","127.6200"
"2019/08/29","128.2400","6750113.0000","128.8400","129.2000","126.8300"
"2019/08/28","128.6800","9885221.0000","127.8600","128.8700","127.0100"
"2019/08/27","129.6400","20186780.0000","129.8800","132.4000","129.1000"
"2019/08/26","127.8000","8916621.0000","127.4200","128.0800","126.6300"
"2019/08/23","127.7300","15714750.0000","131.0700","131.2600","127.1300"
"2019/08/22","131.2700","7213567.0000","131.6000","132.1300","130.8007"
"2019/08/21","131.5300","6914009.0000","131.7000","132.4100","130.8500"
"2019/08/20","130.6000","7302016.0000","131.9600","132.6600","130.4600"
"2019/08/19","132.2500","4958004.0000","132.5000","132.5700","131.8200"
"2019/08/16","131.3600","5858866.0000","131.4700","131.6700","130.5950"
"2019/08/15","130.5400","7251225.0000","130.1700","131.0700","129.2500"
"2019/08/14","130.2600","7736420.0000","132.5300","132.5400","130.1300"
"2019/08/13","133.4200","5101835.0000","132.3000","134.1000","132.0000"
"2019/08/12","131.9300","6852115.0000","131.5000","132.7000","131.2900"
"2019/08/09","132.0400","4677327.0000","131.8000","132.7600","131.2300"
"2019/08/08","131.6800","5260533.0000","130.9800","131.9450","130.2300"
"2019/08/07","130.2100","6771743.0000","129.3600","130.9050","128.1900"
"2019/08/06","130.7700","7880567.0000","130.3400","131.2200","129.5900"
"2019/08/05","130.1600","9480016.0000","130.9100","131.4600","129.0100"
"2019/08/02","131.0700","6574944.0000","130.8600","131.4700","129.7701"
"2019/08/01","130.2900","7870738.0000","130.2600","130.7400","129.0200"
"2019/07/31","130.2200","8559201.0000","131.6400","132.0000","130.1800"
"2019/07/30","132.0800","5509621.0000","132.4700","132.4900","131.2700"
"2019/07/29","133.0200","7831982.0000","131.0000","133.3100","130.2100"
"2019/07/26","130.7300","4894714.0000","131.3000","131.3000","130.4900"
"2019/07/25","131.1200","8897902.0000","130.0600","131.5300","129.6700"
"2019/07/24","129.7800","6838620.0000","128.8800","129.7900","128.5700"
"2019/07/23","128.8400","5803625.0000","128.6100","129.4500","128.1550"
"2019/07/22","128.6400","12625510.0000","130.0000","130.1500","127.8400"
"2019/07/19","130.3100","8340239.0000","132.2500","132.3900","130.1900"
"2019/07/18","132.0700","6203739.0000","132.1300","132.5100","131.1700"
"2019/07/17","131.8600","8862093.0000","132.4900","133.5800","131.4100"
"2019/07/16","132.5000","10214540.0000","132.9300","133.8300","131.7500"
"2019/07/15","134.7100","10038220.0000","135.3900","136.3600","134.4500"
"2019/07/12","134.3000","17780110.0000","140.1200","140.1200","132.3200"
"2019/07/11","140.1100","5817412.0000","140.9400","141.2100","139.0200"
"2019/07/10","141.2100","4874373.0000","141.7800","141.9900","140.6700"
"2019/07/09","141.4100","4217453.0000","141.4600","142.4700","140.9100"
"2019/07/08","140.9700","4078372.0000","140.1200","141.0800","139.6350"
"2019/07/05","140.5700","4652419.0000","141.7400","141.8637","140.3700"
"2019/07/03","142.1400","3436339.0000","141.0000","142.1800","140.7900"
"2019/07/02","140.0300","4501207.0000","139.2200","140.0300","138.6900"
"2019/07/01","139.3600","5875080.0000","140.2000","140.2600","138.7200"
"2019/06/28","139.2800","12792460.0000","140.7400","141.1000","138.5050"
"2019/06/27","140.6900","5233481.0000","142.2300","142.5000","140.6050"
"2019/06/26","141.8500","7674128.0000","143.8500","143.8500","140.7600"
"2019/06/25","144.2400","7517135.0000","143.2700","144.9800","143.1900"
"2019/06/24","143.0600","5894683.0000","142.4200","143.7000","142.0900"
"2019/06/21","142.0900","11272210.0000","141.4600","142.4250","141.0100"
"2019/06/20","142.2100","7335833.0000","141.2500","142.4000","141.0000"
"2019/06/19","140.4500","6393620.0000","140.0100","140.9700","139.9100"
"2019/06/18","140.2300","7122711.0000","140.5600","140.9300","139.7900"
"2019/06/17","139.4400","5562791.0000","140.0000","140.2400","139.2100"
"2019/06/14","140.0900","6548166.0000","141.2300","141.4850","140.0400"
"2019/06/13","140.7100","7500807.0000","141.7200","141.9500","140.2100"
"2019/06/12","141.6800","9216636.0000","140.3000","142.9100","140.3000"
"2019/06/11","139.7800","8230527.0000","139.6800","140.6600","139.5000"
"2019/06/10","139.0200","4994790.0000","138.6000","139.1500","137.6000"
"2019/06/07","138.5500","6533960.0000","137.5900","139.5900","137.1400"
"2019/06/06","136.6800","9115846.0000","134.9000","137.6600","134.5900"
"2019/06/05","134.3800","6860551.0000","134.7000","135.1300","133.8600"
"2019/06/04","133.7300","6649100.0000","132.6000","134.3000","132.5800"
"2019/06/03","131.4400","8434761.0000","131.5000","132.4000","131.0400"
"2019/05/31","131.1500","7810987.0000","131.5200","132.0000","129.6100"
"2019/05/30","132.1100","7361016.0000","131.4400","132.8200","131.1700"
"2019/05/29","131.3300","23247410.0000","135.8900","135.8900","128.5200"
"2019/05/28","137.0700","11919580.0000","139.0000","140.4900","137.0000"
"2019/05/24","138.8500","5473499.0000","139.5000","139.5000","138.5600"
"2019/05/23","139.7900","6951797.0000","138.5000","139.8500","137.6700"
"2019/05/22","138.7600","5456839.0000","138.3500","138.9500","137.4850"
"2019/05/21","138.1200","4859048.0000","139.1200","139.5700","138.0800"
"2019/05/20","138.4200","4771127.0000","138.6100","138.9600","137.6800"
"2019/05/17","138.6100","6915286.0000","137.0000","139.0300","136.8600"
"2019/05/16","138.2100","6857180.0000","137.3900","139.1929","136.9700"
"2019/05/15","136.9100","6429352.0000","136.9000","137.4900","135.3300"
"2019/05/14","136.8200","7179438.0000","137.0400","137.8400","136.7300"
"2019/05/13","137.2000","5560421.0000","137.8500","138.0600","136.5302"
"2019/05/10","139.0500","4771626.0000","138.4300","139.2500","136.4100"
"2019/05/09","138.7300","5604201.0000","138.9500","139.3200","137.6400"
"2019/05/08","139.7900","4667257.0000","140.2000","140.9200","139.7000"
"2019/05/07","139.9700","6606664.0000","140.8200","141.3800","139.0600"
"2019/05/06","142.0900","5818880.0000","140.2500","142.2400","139.9300"
"2019/05/03","142.0100","5281630.0000","141.2900","142.0900","141.0800"
"2019/05/02","141.2800","8835587.0000","141.9100","142.1500","140.1200"
"2019/05/01","141.9500","6656335.0000","140.9500","142.3500","139.7500"
"2019/04/30","141.2000","5993418.0000","140.1900","141.4500","138.9599"
"2019/04/29","139.8400","4214567.0000","140.3500","140.4300","139.5800"
"2019/04/26","140.3900","4364653.0000","139.8800","140.5240","139.3100"
"2019/04/25","139.6500","5044214.0000","138.5200","139.7700","137.9600"
"2019/04/24","139.2000","5666841.0000","139.6500","140.1400","138.8607"
"2019/04/23","139.9000","5761125.0000","137.4200","140.8500","137.2500"
"2019/04/22","137.8300","4433795.0000","136.9800","138.4900","136.4575"
"2019/04/18","137.5200","10477560.0000","139.3500","140.2400","135.7500"
"2019/04/17","138.5200","9477638.0000","139.0000","140.1458","137.6700"
"2019/04/16","138.0200","10745650.0000","138.3200","140.7000","137.5600"
"2019/04/15","136.5200","5038056.0000","136.0000","136.7900","135.8000"
"2019/04/12","135.9800","5704494.0000","135.2200","136.3500","134.7500"
"2019/04/11","135.2100","4485058.0000","135.9600","136.1800","134.4200"
